product,effective_date,entry_date,selected_contract,cum_increase_pct,trailing_return,trailing_vol,cluster_week,completeness_fallback,included_flag,exclusion_reason
ZN,2007-07-30,2007-07-30,200709,0.2142857142857142,0.014088874077741224,0.06155270060444984,2007-W31,False,True,
ZN,2007-11-27,2007-11-27,200803,0.17647058823529416,0.025420363200638736,0.07227838608221086,2007-W48,False,True,
ZN,2007-12-17,2007-12-17,200803,0.19999999999999996,0.0034840812889984116,0.08340958716119021,2007-W51,False,True,
ZN,2008-03-18,2008-03-18,200806,0.16666666666666674,0.03217686308400931,0.114979800095844,2008-W12,False,True,
ZN,2008-09-22,2008-09-22,200812,0.25,0.003262202159021699,0.1245715143153021,2008-W39,False,True,
ZN,2008-10-08,2008-10-08,200812,0.10000000000000009,-0.013636881819583141,0.17686510285131274,2008-W41,False,True,
ZN,2010-05-10,2010-05-10,201006,0.18181818181818188,0.022855100588902628,0.07522438779447164,2010-W19,False,True,
ZN,2010-07-20,2010-07-20,201009,0.07692307692307687,0.024125384119941307,0.045956383362710435,2010-W29,False,True,
ZN,2010-12-17,2010-12-17,201103,0.1428571428571428,-0.026541720859432932,0.10229597172588398,2010-W50,False,True,
ZN,2011-07-25,2011-07-25,201109,0.18181818181818188,-0.004897353920790314,0.07163385254430288,2011-W30,False,True,
ZN,2011-08-11,2011-08-11,201109,0.23076923076923084,0.037703122833650085,0.08465013535294198,2011-W32,False,True,
ZN,2013-07-02,2013-07-02,201309,0.13636363636363646,-0.021125356913162842,0.061907921220522084,2013-W27,False,True,
ZN,2015-01-20,2015-01-20,201503,0.125,0.026222613551435427,0.04863359063924006,2015-W04,False,True,
ZN,2016-06-27,2016-06-27,201609,0.08000000000000007,0.029501366310430606,0.06498417905001949,2016-W26,False,True,
ZN,2016-11-11,2016-11-11,201703,0.07407407407407418,-0.02235480619694223,0.054914713576898797,2016-W45,False,True,
ZN,2018-05-31,2018-05-31,201809,0.11111111111111116,,,2018-W22,False,False,selected contract missing 2 of 33 window days (FORWARD fallback also incomplete)
ZN,2019-01-08,2019-01-08,201903,0.09523809523809534,0.010202193481426765,0.04585948121005774,2019-W02,False,True,
ZN,2019-08-02,2019-08-02,201909,0.09090909090909083,0.009513427037873324,0.0432972365780164,2019-W31,False,True,
ZN,2020-03-03,2020-03-03,202006,0.10869565217391308,0.027508493687526617,0.044585531052273836,2020-W10,False,True,
ZN,2020-03-19,2020-03-19,202006,0.15625,0.011621895205985748,0.1267321941654434,2020-W12,False,True,
ZN,2020-04-14,2020-04-14,202006,0.08108108108108114,0.017022173732382136,0.07245669139196974,2020-W16,False,True,
ZN,2021-02-26,2021-02-26,202106,0.1200000000000001,-0.026259206029808836,0.04904599887213689,2021-W08,False,True,
ZN,2021-04-16,2021-04-16,202106,0.08928571428571419,0.0072296611194590235,0.03729580273071018,2021-W15,False,True,
ZN,2021-11-12,2021-11-12,202112,0.0714285714285714,,,2021-W45,False,False,selected contract missing 3 of 33 window days (FORWARD fallback also incomplete)
ZN,2022-02-15,2022-02-15,202206,0.06666666666666665,-0.011374999009950563,0.05593868484193351,2022-W07,True,True,
ZN,2022-04-01,2022-04-01,202206,0.0625,-0.050141441697325526,0.07083852889427862,2022-W13,False,True,
ZN,2022-06-21,2022-06-21,202209,0.05882352941176472,-0.032346404319957466,0.09452472884507111,2022-W25,False,True,
ZN,2022-09-30,2022-09-30,202212,0.11111111111111116,-0.03731571491806232,0.0981081184147902,2022-W39,False,True,
ZN,2022-11-14,2022-11-14,202303,0.10000000000000009,0.012446842740495801,0.09554210812014002,2022-W46,False,True,
ZN,2023-03-14,2023-03-14,202306,0.15384615384615374,0.00027544415543931324,0.09033149850400178,2023-W11,False,True,
ZN,2023-12-12,2023-12-12,202403,0.0625,0.02576724293614679,0.07839679041211046,2023-W50,False,True,
